RushDirection
RIGHT GUARD
LEFT GUARD
LEFT END
RIGHT END
RIGHT GUARD
CENTER
LEFT END
RIGHT TACKLE
LEFT END
RIGHT TACKLE
CENTER
LEFT TACKLE
LEFT GUARD
RIGHT TACKLE
LEFT END
RIGHT TACKLE
CENTER
RIGHT END
LEFT GUARD
RIGHT TACKLE
LEFT TACKLE
CENTER
CENTER
LEFT END
CENTER
LEFT END
CENTER
CENTER
RIGHT TACKLE
LEFT END
LEFT END
CENTER
LEFT GUARD
CENTER
LEFT END
CENTER
CENTER
RIGHT TACKLE
RIGHT END
CENTER
LEFT TACKLE
RIGHT GUARD
LEFT END
RIGHT END
CENTER
LEFT GUARD
CENTER
RIGHT END
CENTER
RIGHT END
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
LEFT END
LEFT TACKLE
CENTER
RIGHT END
CENTER
LEFT TACKLE
LEFT END
LEFT END
CENTER
CENTER
CENTER
CENTER
RIGHT END
LEFT END
LEFT TACKLE
CENTER
RIGHT END
RIGHT END
CENTER
CENTER
LEFT END
RIGHT END
CENTER
CENTER
RIGHT GUARD
RIGHT END
RIGHT TACKLE
CENTER
LEFT END
CENTER
LEFT TACKLE
CENTER
RIGHT TACKLE
RIGHT END
LEFT GUARD
RIGHT END
LEFT TACKLE
RIGHT GUARD
LEFT GUARD
LEFT GUARD
RIGHT TACKLE
LEFT END
RIGHT TACKLE
RIGHT GUARD
CENTER
RIGHT TACKLE
CENTER
CENTER
CENTER
LEFT GUARD
LEFT END
CENTER
LEFT GUARD
CENTER
CENTER
CENTER
RIGHT GUARD
LEFT END
LEFT END
RIGHT END
LEFT GUARD
RIGHT TACKLE
LEFT GUARD
CENTER
RIGHT TACKLE
CENTER
LEFT TACKLE
RIGHT END
LEFT GUARD
RIGHT TACKLE
RIGHT GUARD
LEFT GUARD
LEFT GUARD
LEFT END
LEFT TACKLE
CENTER
LEFT END
LEFT END
LEFT END
CENTER
LEFT TACKLE
CENTER
RIGHT END
CENTER
LEFT END
RIGHT TACKLE
LEFT TACKLE
RIGHT END
LEFT END
LEFT GUARD
RIGHT END
LEFT END
LEFT GUARD
RIGHT END
RIGHT END
CENTER
LEFT GUARD
LEFT GUARD
CENTER
RIGHT TACKLE
CENTER
LEFT END
CENTER
CENTER
RIGHT GUARD
CENTER
LEFT END
LEFT GUARD
CENTER
CENTER
LEFT TACKLE
CENTER
RIGHT END
CENTER
CENTER
LEFT TACKLE
LEFT TACKLE
CENTER
LEFT END
CENTER
CENTER
CENTER
CENTER
CENTER
RIGHT END
RIGHT TACKLE
LEFT END
LEFT END
LEFT GUARD
CENTER
LEFT END
RIGHT TACKLE
CENTER
LEFT GUARD
CENTER
RIGHT END
CENTER
RIGHT TACKLE
LEFT TACKLE
LEFT END
RIGHT END
LEFT END
RIGHT GUARD
CENTER
RIGHT TACKLE
LEFT TACKLE
LEFT GUARD
RIGHT TACKLE
CENTER
RIGHT TACKLE
LEFT TACKLE
RIGHT TACKLE
CENTER
RIGHT TACKLE
RIGHT GUARD
LEFT END
CENTER
LEFT TACKLE
LEFT TACKLE
CENTER
LEFT TACKLE
CENTER
RIGHT TACKLE
LEFT TACKLE
RIGHT GUARD
RIGHT END
LEFT END
LEFT TACKLE
RIGHT GUARD
CENTER
CENTER
RIGHT END
LEFT END
LEFT TACKLE
RIGHT GUARD
CENTER
RIGHT END
RIGHT GUARD
LEFT TACKLE
RIGHT GUARD
RIGHT TACKLE
LEFT GUARD
RIGHT TACKLE
RIGHT GUARD
LEFT TACKLE
RIGHT TACKLE
LEFT TACKLE
LEFT GUARD
RIGHT END
RIGHT END
RIGHT END
RIGHT END
RIGHT TACKLE
RIGHT TACKLE
RIGHT TACKLE
LEFT GUARD
RIGHT TACKLE
RIGHT GUARD
LEFT END
LEFT END
RIGHT GUARD
LEFT TACKLE
RIGHT TACKLE
LEFT END
LEFT GUARD
LEFT TACKLE
LEFT TACKLE
LEFT GUARD
LEFT GUARD
RIGHT GUARD
RIGHT END
RIGHT GUARD
RIGHT GUARD
CENTER
CENTER
RIGHT END
LEFT GUARD
LEFT TACKLE
LEFT TACKLE
RIGHT GUARD
RIGHT GUARD
CENTER
LEFT GUARD
CENTER
RIGHT TACKLE
RIGHT GUARD
RIGHT TACKLE
RIGHT GUARD
LEFT END
CENTER
CENTER
LEFT GUARD
CENTER
CENTER
RIGHT GUARD
CENTER
LEFT GUARD
RIGHT END
LEFT END
RIGHT END
CENTER
LEFT GUARD
LEFT END
CENTER
LEFT TACKLE
LEFT TACKLE
CENTER
RIGHT END
CENTER
RIGHT END
CENTER
LEFT TACKLE
RIGHT END
CENTER
LEFT TACKLE
LEFT END
RIGHT TACKLE
LEFT END
LEFT GUARD
LEFT GUARD
RIGHT TACKLE
LEFT TACKLE
LEFT GUARD
RIGHT GUARD
RIGHT GUARD
RIGHT TACKLE
LEFT TACKLE
RIGHT TACKLE
LEFT TACKLE
LEFT TACKLE
LEFT TACKLE
RIGHT GUARD
LEFT GUARD
RIGHT GUARD
RIGHT GUARD
RIGHT GUARD
LEFT END
RIGHT END
LEFT END
RIGHT TACKLE
RIGHT END
RIGHT TACKLE
RIGHT END
CENTER
CENTER
RIGHT TACKLE
CENTER
RIGHT GUARD
RIGHT GUARD
RIGHT TACKLE
LEFT END
CENTER
CENTER
RIGHT GUARD
RIGHT GUARD
RIGHT END
CENTER
CENTER
CENTER
RIGHT TACKLE
CENTER
LEFT TACKLE
CENTER
CENTER
CENTER
CENTER
CENTER
LEFT TACKLE
LEFT TACKLE
RIGHT END
CENTER
CENTER
CENTER
CENTER
CENTER
LEFT TACKLE
RIGHT GUARD
RIGHT TACKLE
CENTER
RIGHT GUARD
RIGHT TACKLE
RIGHT END
LEFT GUARD
LEFT GUARD
RIGHT GUARD
CENTER
LEFT TACKLE
CENTER
RIGHT GUARD
LEFT TACKLE
CENTER
CENTER
LEFT GUARD
LEFT END
RIGHT GUARD
LEFT TACKLE
CENTER
CENTER
LEFT GUARD
CENTER
LEFT GUARD
RIGHT END
CENTER
LEFT TACKLE
CENTER
CENTER
CENTER
LEFT GUARD
CENTER
CENTER
CENTER
CENTER
LEFT TACKLE
CENTER
CENTER
LEFT TACKLE
LEFT GUARD
RIGHT TACKLE
CENTER
LEFT GUARD
RIGHT GUARD
LEFT END
RIGHT TACKLE
RIGHT TACKLE
LEFT TACKLE
LEFT GUARD
LEFT TACKLE
RIGHT GUARD
CENTER
RIGHT TACKLE
LEFT TACKLE
CENTER
LEFT GUARD
LEFT TACKLE
RIGHT GUARD
RIGHT TACKLE
LEFT GUARD
CENTER
RIGHT END
CENTER
RIGHT GUARD
LEFT GUARD
RIGHT TACKLE
CENTER
LEFT TACKLE
RIGHT END
CENTER
LEFT GUARD
RIGHT TACKLE
LEFT TACKLE
RIGHT END
LEFT TACKLE
LEFT TACKLE
LEFT TACKLE
RIGHT TACKLE
RIGHT GUARD
RIGHT GUARD
LEFT END
RIGHT TACKLE
RIGHT END
LEFT TACKLE
CENTER
RIGHT GUARD
RIGHT TACKLE
RIGHT END
RIGHT END
CENTER
RIGHT END
RIGHT TACKLE
RIGHT END
CENTER
LEFT END
RIGHT END
RIGHT TACKLE
LEFT TACKLE
RIGHT GUARD
CENTER
LEFT GUARD
CENTER
CENTER
RIGHT END
RIGHT TACKLE
LEFT END
LEFT GUARD
RIGHT GUARD
LEFT TACKLE
RIGHT TACKLE
RIGHT TACKLE
RIGHT END
CENTER
CENTER
CENTER
CENTER
CENTER
LEFT TACKLE
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
LEFT END
RIGHT END
CENTER
CENTER
CENTER
RIGHT TACKLE
LEFT GUARD
RIGHT TACKLE
LEFT GUARD
CENTER
LEFT END
CENTER
RIGHT TACKLE
CENTER
RIGHT GUARD
CENTER
CENTER
LEFT END
CENTER
RIGHT GUARD
CENTER
RIGHT END
LEFT TACKLE
RIGHT TACKLE
LEFT END
RIGHT TACKLE
LEFT TACKLE
LEFT TACKLE
LEFT TACKLE
RIGHT GUARD
LEFT TACKLE
LEFT TACKLE
LEFT GUARD
CENTER
LEFT END
LEFT GUARD
LEFT TACKLE
CENTER
RIGHT TACKLE
CENTER
LEFT TACKLE
CENTER
CENTER
RIGHT TACKLE
RIGHT GUARD
RIGHT GUARD
LEFT TACKLE
CENTER
LEFT TACKLE
RIGHT TACKLE
CENTER
CENTER
RIGHT GUARD
LEFT TACKLE
RIGHT TACKLE
CENTER
CENTER
CENTER
LEFT END
LEFT END
CENTER
RIGHT END
CENTER
LEFT END
LEFT END
CENTER
CENTER
RIGHT END
CENTER
CENTER
LEFT END
CENTER
CENTER
LEFT END
CENTER
LEFT END
CENTER
CENTER
LEFT END
LEFT GUARD
LEFT GUARD
LEFT TACKLE
LEFT END
LEFT END
LEFT END
LEFT TACKLE
RIGHT TACKLE
RIGHT GUARD
CENTER
LEFT END
CENTER
CENTER
CENTER
RIGHT GUARD
CENTER
LEFT TACKLE
LEFT GUARD
CENTER
RIGHT TACKLE
RIGHT TACKLE
CENTER
LEFT GUARD
RIGHT END
RIGHT TACKLE
CENTER
RIGHT END
CENTER
LEFT GUARD
LEFT GUARD
LEFT TACKLE
LEFT TACKLE
RIGHT END
LEFT GUARD
RIGHT END
RIGHT END
LEFT TACKLE
RIGHT GUARD
RIGHT GUARD
RIGHT END
RIGHT END
LEFT GUARD
RIGHT GUARD
RIGHT END
LEFT TACKLE
LEFT GUARD
RIGHT GUARD
LEFT END
RIGHT TACKLE
LEFT END
LEFT TACKLE
LEFT GUARD
LEFT TACKLE
LEFT END
LEFT END
LEFT GUARD
RIGHT TACKLE
RIGHT END
LEFT TACKLE
CENTER
RIGHT TACKLE
RIGHT TACKLE
LEFT TACKLE
RIGHT GUARD
LEFT GUARD
RIGHT TACKLE
LEFT GUARD
LEFT END
RIGHT GUARD
LEFT TACKLE
LEFT GUARD
RIGHT END
RIGHT GUARD
RIGHT TACKLE
LEFT GUARD
LEFT TACKLE
LEFT TACKLE
LEFT GUARD
LEFT END
RIGHT TACKLE
RIGHT GUARD
CENTER
RIGHT GUARD
LEFT END
LEFT END
LEFT TACKLE
RIGHT TACKLE
LEFT END
LEFT END
LEFT GUARD
LEFT TACKLE
RIGHT TACKLE
RIGHT TACKLE
RIGHT END
LEFT GUARD
LEFT TACKLE
LEFT END
RIGHT TACKLE
LEFT END
LEFT TACKLE
RIGHT END
RIGHT GUARD
RIGHT END
RIGHT GUARD
RIGHT TACKLE
RIGHT TACKLE
RIGHT GUARD
RIGHT END
LEFT TACKLE
RIGHT GUARD
RIGHT GUARD
RIGHT GUARD
LEFT GUARD
LEFT TACKLE
RIGHT GUARD
LEFT GUARD
LEFT GUARD
RIGHT GUARD
LEFT TACKLE
LEFT GUARD
RIGHT GUARD
LEFT GUARD
LEFT GUARD
CENTER
RIGHT GUARD
RIGHT TACKLE
RIGHT GUARD
RIGHT GUARD
CENTER
RIGHT GUARD
RIGHT END
RIGHT GUARD
CENTER
LEFT GUARD
RIGHT GUARD
LEFT GUARD
LEFT END
LEFT GUARD
RIGHT END
RIGHT GUARD
LEFT GUARD
CENTER
LEFT TACKLE
CENTER
RIGHT END
LEFT END
CENTER
RIGHT END
CENTER
LEFT GUARD
RIGHT TACKLE
CENTER
RIGHT GUARD
LEFT GUARD
LEFT END
RIGHT TACKLE
RIGHT GUARD
CENTER
RIGHT GUARD
LEFT GUARD
LEFT TACKLE
LEFT GUARD
RIGHT GUARD
RIGHT TACKLE
LEFT END
RIGHT GUARD
CENTER
LEFT GUARD
LEFT TACKLE
RIGHT GUARD
CENTER
LEFT GUARD
CENTER
CENTER
LEFT GUARD
CENTER
RIGHT GUARD
LEFT TACKLE
CENTER
LEFT TACKLE
LEFT GUARD
RIGHT GUARD
RIGHT TACKLE
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
RIGHT END
CENTER
RIGHT END
CENTER
LEFT END
LEFT END
CENTER
LEFT END
CENTER
CENTER
CENTER
CENTER
LEFT END
CENTER
LEFT END
LEFT END
LEFT END
LEFT END
CENTER
CENTER
LEFT END
LEFT TACKLE
LEFT GUARD
LEFT TACKLE
RIGHT END
LEFT GUARD
RIGHT GUARD
RIGHT GUARD
LEFT END
CENTER
LEFT END
RIGHT END
RIGHT END
CENTER
RIGHT END
RIGHT END
RIGHT GUARD
RIGHT GUARD
RIGHT END
LEFT END
RIGHT END
CENTER
CENTER
CENTER
CENTER
CENTER
RIGHT END
CENTER
CENTER
CENTER
LEFT TACKLE
CENTER
CENTER
CENTER
RIGHT TACKLE
RIGHT END
LEFT GUARD
RIGHT GUARD
RIGHT TACKLE
RIGHT END
RIGHT TACKLE
RIGHT GUARD
LEFT GUARD
LEFT TACKLE
RIGHT TACKLE
LEFT TACKLE
RIGHT GUARD
CENTER
LEFT GUARD
RIGHT GUARD
CENTER
CENTER
RIGHT GUARD
LEFT TACKLE
LEFT TACKLE
RIGHT TACKLE
RIGHT END
LEFT TACKLE
LEFT GUARD
CENTER
LEFT GUARD
RIGHT GUARD
LEFT TACKLE
CENTER
RIGHT TACKLE
RIGHT GUARD
LEFT END
LEFT END
RIGHT TACKLE
RIGHT GUARD
LEFT GUARD
CENTER
RIGHT END
RIGHT TACKLE
CENTER
CENTER
LEFT TACKLE
RIGHT TACKLE
RIGHT END
CENTER
CENTER
LEFT TACKLE
CENTER
LEFT END
LEFT END
RIGHT END
RIGHT END
RIGHT END
RIGHT END
RIGHT END
LEFT END
CENTER
LEFT END
LEFT END
RIGHT END
CENTER
LEFT END
CENTER
LEFT GUARD
CENTER
LEFT END
LEFT TACKLE
LEFT GUARD
LEFT END
RIGHT END
LEFT END
RIGHT TACKLE
RIGHT END
CENTER
LEFT END
RIGHT END
LEFT TACKLE
LEFT END
RIGHT TACKLE
RIGHT TACKLE
CENTER
LEFT GUARD
RIGHT TACKLE
CENTER
RIGHT GUARD
LEFT TACKLE
LEFT END
RIGHT END
CENTER
LEFT TACKLE
LEFT END
LEFT END
RIGHT END
CENTER
LEFT END
LEFT TACKLE
LEFT TACKLE
RIGHT TACKLE
LEFT END
LEFT TACKLE
RIGHT GUARD
CENTER
LEFT GUARD
LEFT TACKLE
RIGHT TACKLE
CENTER
LEFT TACKLE
LEFT GUARD
LEFT END
RIGHT TACKLE
LEFT TACKLE
LEFT TACKLE
RIGHT TACKLE
LEFT END
CENTER
RIGHT END
LEFT TACKLE
RIGHT END
CENTER
CENTER
RIGHT TACKLE
LEFT TACKLE
LEFT TACKLE
RIGHT TACKLE
CENTER
CENTER
CENTER
CENTER
RIGHT END
LEFT TACKLE
LEFT END
LEFT END
CENTER
RIGHT END
CENTER
CENTER
CENTER
RIGHT TACKLE
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
RIGHT GUARD
CENTER
LEFT TACKLE
CENTER
CENTER
LEFT TACKLE
LEFT TACKLE
LEFT END
CENTER
CENTER
LEFT END
RIGHT TACKLE
RIGHT TACKLE
LEFT END
RIGHT TACKLE
RIGHT END
LEFT END
RIGHT TACKLE
LEFT TACKLE
RIGHT END
LEFT TACKLE
RIGHT TACKLE
LEFT TACKLE
LEFT END
CENTER
RIGHT GUARD
LEFT GUARD
CENTER
LEFT TACKLE
RIGHT END
LEFT TACKLE
LEFT TACKLE
RIGHT GUARD
LEFT TACKLE
RIGHT TACKLE
LEFT GUARD
LEFT TACKLE
CENTER
RIGHT GUARD
LEFT END
RIGHT END
CENTER
LEFT END
RIGHT END
RIGHT TACKLE
RIGHT GUARD
LEFT TACKLE
RIGHT TACKLE
LEFT END
LEFT END
LEFT TACKLE
CENTER
LEFT TACKLE
LEFT END
CENTER
RIGHT END
LEFT END
LEFT TACKLE
CENTER
LEFT TACKLE
LEFT END
LEFT TACKLE
LEFT TACKLE
CENTER
CENTER
LEFT TACKLE
RIGHT TACKLE
CENTER
RIGHT TACKLE
RIGHT TACKLE
LEFT TACKLE
CENTER
CENTER
RIGHT END
LEFT TACKLE
LEFT TACKLE
CENTER
LEFT TACKLE
CENTER
LEFT END
CENTER
LEFT GUARD
CENTER
CENTER
CENTER
CENTER
CENTER
LEFT GUARD
LEFT END
CENTER
LEFT GUARD
RIGHT TACKLE
CENTER
LEFT TACKLE
LEFT TACKLE
LEFT TACKLE
LEFT TACKLE
RIGHT GUARD
LEFT GUARD
RIGHT TACKLE
CENTER
CENTER
CENTER
LEFT GUARD
RIGHT GUARD
CENTER
RIGHT GUARD
CENTER
CENTER
CENTER
RIGHT END
LEFT END
LEFT GUARD
LEFT GUARD
LEFT GUARD
RIGHT END
LEFT END
RIGHT END
LEFT GUARD
LEFT TACKLE
RIGHT GUARD
LEFT GUARD
LEFT END
RIGHT TACKLE
LEFT END
RIGHT END
LEFT TACKLE
LEFT TACKLE
LEFT GUARD
LEFT GUARD
RIGHT GUARD
CENTER
RIGHT END
LEFT GUARD
RIGHT GUARD
RIGHT TACKLE
LEFT END
LEFT GUARD
LEFT GUARD
LEFT TACKLE
LEFT GUARD
LEFT GUARD
LEFT TACKLE
LEFT GUARD
RIGHT GUARD
RIGHT GUARD
LEFT END
LEFT TACKLE
LEFT TACKLE
LEFT GUARD
LEFT GUARD
RIGHT END
LEFT GUARD
RIGHT TACKLE
LEFT END
LEFT GUARD
RIGHT TACKLE
LEFT END
RIGHT TACKLE
LEFT TACKLE
LEFT GUARD
RIGHT TACKLE
CENTER
LEFT TACKLE
RIGHT TACKLE
CENTER
RIGHT TACKLE
RIGHT GUARD
RIGHT END
LEFT GUARD
CENTER
RIGHT TACKLE
CENTER
LEFT END
LEFT GUARD
CENTER
LEFT GUARD
RIGHT GUARD
CENTER
LEFT TACKLE
RIGHT GUARD
CENTER
LEFT END
CENTER
RIGHT GUARD
RIGHT END
LEFT TACKLE
LEFT END
RIGHT GUARD
LEFT GUARD
LEFT GUARD
LEFT END
CENTER
RIGHT GUARD
CENTER
LEFT END
CENTER
LEFT END
RIGHT TACKLE
CENTER
LEFT END
CENTER
CENTER
RIGHT END
RIGHT END
CENTER
RIGHT END
CENTER
LEFT END
LEFT END
RIGHT GUARD
CENTER
RIGHT END
CENTER
RIGHT END
CENTER
CENTER
LEFT END
CENTER
RIGHT END
CENTER
RIGHT GUARD
RIGHT END
RIGHT TACKLE
CENTER
CENTER
RIGHT GUARD
RIGHT TACKLE
CENTER
RIGHT TACKLE
LEFT GUARD
CENTER
LEFT TACKLE
LEFT TACKLE
RIGHT TACKLE
LEFT TACKLE
RIGHT TACKLE
LEFT END
CENTER
CENTER
LEFT END
CENTER
LEFT END
CENTER
CENTER
CENTER
CENTER
LEFT END
CENTER
LEFT END
LEFT END
CENTER
LEFT END
RIGHT END
CENTER
CENTER
CENTER
CENTER
CENTER
CENTER
LEFT END
RIGHT END
RIGHT GUARD
LEFT TACKLE
CENTER
LEFT END
LEFT GUARD
RIGHT END
RIGHT GUARD
LEFT GUARD
CENTER
CENTER
CENTER
LEFT END
CENTER
LEFT TACKLE
CENTER
RIGHT TACKLE
RIGHT GUARD
LEFT GUARD
LEFT GUARD
RIGHT END
LEFT TACKLE
LEFT GUARD
CENTER
LEFT GUARD
CENTER
CENTER
CENTER
LEFT END
LEFT TACKLE
CENTER
RIGHT GUARD
LEFT TACKLE
CENTER
LEFT END
LEFT TACKLE
RIGHT END
LEFT END
CENTER
RIGHT GUARD
LEFT TACKLE
CENTER
LEFT TACKLE
LEFT END
LEFT GUARD
RIGHT TACKLE
LEFT TACKLE
RIGHT GUARD
RIGHT TACKLE
LEFT END
LEFT GUARD
RIGHT TACKLE
CENTER
CENTER
CENTER
LEFT TACKLE
CENTER
LEFT END
CENTER
CENTER
LEFT END
CENTER
CENTER
LEFT TACKLE
CENTER
LEFT TACKLE
CENTER
LEFT END
RIGHT END
CENTER
RIGHT END
CENTER
RIGHT END
CENTER
RIGHT TACKLE
CENTER
LEFT END
LEFT END
LEFT END
CENTER
CENTER
LEFT TACKLE
CENTER
CENTER
LEFT GUARD
LEFT GUARD
LEFT TACKLE
RIGHT TACKLE
LEFT GUARD
RIGHT GUARD
CENTER
RIGHT GUARD
LEFT END
LEFT TACKLE
LEFT GUARD
RIGHT TACKLE
LEFT TACKLE
CENTER
RIGHT TACKLE
LEFT TACKLE
LEFT TACKLE
CENTER
CENTER
CENTER
CENTER
RIGHT TACKLE
LEFT TACKLE
LEFT END
CENTER
LEFT END
LEFT TACKLE
LEFT END
CENTER
CENTER
RIGHT TACKLE
CENTER
CENTER
CENTER
LEFT END
RIGHT END
CENTER
LEFT END
LEFT END
LEFT END
LEFT TACKLE
CENTER
CENTER
LEFT GUARD
RIGHT GUARD
LEFT GUARD
LEFT END
RIGHT END
LEFT END
CENTER
CENTER
LEFT END
CENTER
RIGHT END
LEFT END
RIGHT GUARD
LEFT TACKLE
RIGHT TACKLE
RIGHT END
RIGHT TACKLE
RIGHT END
RIGHT END
RIGHT TACKLE
CENTER
LEFT TACKLE
CENTER
RIGHT END
RIGHT GUARD
RIGHT TACKLE
